name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Melbourne,Australia",2008-07-01,13.6,9.1,11.1,13.6,4.5,10.7,4,62.3,3.71,100,4.17,rain,,,,46.4,305.6,1007.1,59,13.9,,,,,2008-07-01T07:36:29,2008-07-01T17:11:35,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-02,12.9,6.1,10.6,12.9,3.1,9.8,5.5,71.5,2.861,100,8.33,rain,,,,37.9,282.7,1014.6,80.6,13.3,,,,,2008-07-02T07:36:24,2008-07-02T17:12:03,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-03,12.5,6.6,9.6,12.5,3.2,8.3,5.9,78.4,0.274,100,4.17,rain,,,,27.7,268.6,1023.8,87,14.4,,,,,2008-07-03T07:36:18,2008-07-03T17:12:33,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-04,13.1,3.7,8.9,13.1,3.7,8.5,5.9,83.4,0.295,100,8.33,rain,,,,10.2,341.8,1028.4,75.8,11.7,,,,,2008-07-04T07:36:09,2008-07-04T17:13:04,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-05,15.1,1.2,7.9,15.1,-1,6.6,4,78.1,0.076,100,4.17,rain,,,,35.3,15.2,1026.1,52.1,17.7,,,,,2008-07-05T07:35:59,2008-07-05T17:13:35,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-06,15.1,7.9,11.7,15.1,5.3,11.1,4.9,64.4,0.171,100,4.17,rain,,,,44.3,3.5,1020.5,74.7,19.5,,,,,2008-07-06T07:35:47,2008-07-06T17:14:08,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-07,13.1,6.1,10.4,13.1,2.3,9.5,6.4,76.9,2.858,100,8.33,rain,,,,38.9,5.2,1014.6,77.5,16.3,,,,,2008-07-07T07:35:33,2008-07-07T17:14:42,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-08,9,6.1,7.5,8.2,2.6,5.1,5.5,87.2,2.123,100,16.67,rain,,,,20.5,348.9,1016.6,91,13.9,,,,,2008-07-08T07:35:17,2008-07-08T17:15:18,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-09,13.1,2.5,7.9,13.1,0,6.8,4.7,81.6,0,0,0,,,,,22.3,334.6,1019.4,66.6,14.8,,,,,2008-07-09T07:35:00,2008-07-09T17:15:54,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95866099999,94865099999,94864099999,94870099999"
"Melbourne,Australia",2008-07-10,12.1,6.1,9.4,12.1,0.3,7.4,3.4,67.7,3.626,100,12.5,rain,,,,46.4,310.4,1008.3,77.8,17,,,,,2008-07-10T07:34:40,2008-07-10T17:16:31,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95867099999,95866099999,94865099999,94864099999,94870099999"
